alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = -1.0
alpha = 0.75, gamma = 1, trial = 16, reward = -1.0
alpha = 0.75, gamma = 1, trial = 16, reward = 0.0
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = 0.0
alpha = 0.75, gamma = 1, trial = 16, reward = -1.0
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = 2.0
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = 0.0
alpha = 0.75, gamma = 1, trial = 16, reward = -1.0
alpha = 0.75, gamma = 1, trial = 16, reward = 2.0
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = 0.0
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = 2.0
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = 0.0
alpha = 0.75, gamma = 1, trial = 16, reward = -1.0
alpha = 0.75, gamma = 1, trial = 16, reward = 0.0
alpha = 0.75, gamma = 1, trial = 16, reward = -1.0
alpha = 0.75, gamma = 1, trial = 16, reward = 0.0
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 16, reward = 0.0
alpha = 0.75, gamma = 1, trial = 16, reward = -1.0
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
Primary agent ran out of time! Trial aborted.
alpha = 0.75, gamma = 1, trial = 16, reward = -0.5
alpha = 0.75, gamma = 1, trial = 17, reward = 0.0
alpha = 0.75, gamma = 1, trial = 17, reward = 2.0
alpha = 0.75, gamma = 1, trial = 17, reward = -1.0
alpha = 0.75, gamma = 1, trial = 17, reward = -1.0
alpha = 0.75, gamma = 1, trial = 17, reward = 2.0
alpha = 0.75, gamma = 1, trial = 17, reward = 0.0
alpha = 0.75, gamma = 1, trial = 17, reward = 0.0
alpha = 0.75, gamma = 1, trial = 17, reward = -0.5
alpha = 0.75, gamma = 1, trial = 17, reward = -1.0
alpha = 0.75, gamma = 1, trial = 17, reward = -0.5
alpha = 0.75, gamma = 1, trial = 17, reward = 0.0
alpha = 0.75, gamma = 1, trial = 17, reward = 2.0
