alpha = 0.25, gamma = 0.75, trial = 17, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 17, reward = -0.5
alpha = 0.25, gamma = 0.75, trial = 17, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 17, reward = 2.0
alpha = 0.25, gamma = 0.75, trial = 17, reward = 0.0
alpha = 0.25, gamma = 0.75, trial = 17, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 17, reward = 2.0
alpha = 0.25, gamma = 0.75, trial = 17, reward = -0.5
alpha = 0.25, gamma = 0.75, trial = 17, reward = -0.5
alpha = 0.25, gamma = 0.75, trial = 17, reward = -1.0
Primary agent ran out of time! Trial aborted.
alpha = 0.25, gamma = 0.75, trial = 17, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 18, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 18, reward = -0.5
